"No.","Time","Source","Destination","Protocol","Length","Info"
"188","12.842219","192.168.0.108","192.168.0.102","TCP","54","1722  >  0 [SYN] Seq=0 Win=512 Len=0"
"189","12.842219","192.168.0.108","192.168.0.102","TCP","54","1723  >  0 [SYN] Seq=0 Win=512 Len=0"
"190","12.842219","192.168.0.108","192.168.0.102","TCP","54","1724  >  0 [SYN] Seq=0 Win=512 Len=0"
"191","12.842219","192.168.0.108","192.168.0.102","TCP","54","1725  >  0 [SYN] Seq=0 Win=512 Len=0"
"192","12.842219","192.168.0.108","192.168.0.102","TCP","54","1726  >  0 [SYN] Seq=0 Win=512 Len=0"
"193","12.842500","192.168.0.108","192.168.0.102","TCP","54","1727  >  0 [SYN] Seq=0 Win=512 Len=0"
"194","12.842500","192.168.0.108","192.168.0.102","TCP","54","1728  >  0 [SYN] Seq=0 Win=512 Len=0"
"195","12.842500","192.168.0.108","192.168.0.102","TCP","54","1729  >  0 [SYN] Seq=0 Win=512 Len=0"
"196","12.842500","192.168.0.108","192.168.0.102","TCP","54","1730  >  0 [SYN] Seq=0 Win=512 Len=0"
"197","12.842500","192.168.0.108","192.168.0.102","TCP","54","1731  >  0 [SYN] Seq=0 Win=512 Len=0"
"198","12.842500","192.168.0.108","192.168.0.102","TCP","54","1732  >  0 [SYN] Seq=0 Win=512 Len=0"
"199","12.842500","192.168.0.108","192.168.0.102","TCP","54","1733  >  0 [SYN] Seq=0 Win=512 Len=0"
"200","12.842500","192.168.0.108","192.168.0.102","TCP","54","1734  >  0 [SYN] Seq=0 Win=512 Len=0"
"201","12.842500","192.168.0.108","192.168.0.102","TCP","54","1735  >  0 [SYN] Seq=0 Win=512 Len=0"
"202","12.843350","192.168.0.108","192.168.0.102","TCP","54","1736  >  0 [SYN] Seq=0 Win=512 Len=0"
"203","12.843350","192.168.0.108","192.168.0.102","TCP","54","1737  >  0 [SYN] Seq=0 Win=512 Len=0"
"204","12.843350","192.168.0.108","192.168.0.102","TCP","54","1738  >  0 [SYN] Seq=0 Win=512 Len=0"
"205","12.843350","192.168.0.108","192.168.0.102","TCP","54","1739  >  0 [SYN] Seq=0 Win=512 Len=0"
"206","12.843625","192.168.0.108","192.168.0.102","TCP","54","1740  >  0 [SYN] Seq=0 Win=512 Len=0"
"207","12.843625","192.168.0.108","192.168.0.102","TCP","54","1741  >  0 [SYN] Seq=0 Win=512 Len=0"
"208","12.843625","192.168.0.108","192.168.0.102","TCP","54","1742  >  0 [SYN] Seq=0 Win=512 Len=0"
"209","12.843625","192.168.0.108","192.168.0.102","TCP","54","1743  >  0 [SYN] Seq=0 Win=512 Len=0"
"210","12.843625","192.168.0.108","192.168.0.102","TCP","54","1744  >  0 [SYN] Seq=0 Win=512 Len=0"
"211","12.843625","192.168.0.108","192.168.0.102","TCP","54","1745  >  0 [SYN] Seq=0 Win=512 Len=0"
"212","12.843625","192.168.0.108","192.168.0.102","TCP","54","1746  >  0 [SYN] Seq=0 Win=512 Len=0"
"213","12.843625","192.168.0.108","192.168.0.102","TCP","54","1747  >  0 [SYN] Seq=0 Win=512 Len=0"
"214","12.843625","192.168.0.108","192.168.0.102","TCP","54","1748  >  0 [SYN] Seq=0 Win=512 Len=0"
"215","12.844000","192.168.0.108","192.168.0.102","TCP","54","1749  >  0 [SYN] Seq=0 Win=512 Len=0"
"216","12.844000","192.168.0.108","192.168.0.102","TCP","54","1750  >  0 [SYN] Seq=0 Win=512 Len=0"
"217","12.844000","192.168.0.108","192.168.0.102","TCP","54","1751  >  0 [SYN] Seq=0 Win=512 Len=0"
"218","12.844000","192.168.0.108","192.168.0.102","TCP","54","1752  >  0 [SYN] Seq=0 Win=512 Len=0"
"219","12.844000","192.168.0.108","192.168.0.102","TCP","54","1753  >  0 [SYN] Seq=0 Win=512 Len=0"
"220","12.844000","192.168.0.108","192.168.0.102","TCP","54","1754  >  0 [SYN] Seq=0 Win=512 Len=0"
"221","12.844000","192.168.0.108","192.168.0.102","TCP","54","1755  >  0 [SYN] Seq=0 Win=512 Len=0"
"222","12.844000","192.168.0.108","192.168.0.102","TCP","54","1756  >  0 [SYN] Seq=0 Win=512 Len=0"
"223","12.845319","192.168.0.108","192.168.0.102","TCP","54","1757  >  0 [SYN] Seq=0 Win=512 Len=0"
"224","12.845319","192.168.0.108","192.168.0.102","TCP","54","1758  >  0 [SYN] Seq=0 Win=512 Len=0"
"225","12.845319","192.168.0.108","192.168.0.102","TCP","54","1759  >  0 [SYN] Seq=0 Win=512 Len=0"
"226","12.845319","192.168.0.108","192.168.0.102","TCP","54","1760  >  0 [SYN] Seq=0 Win=512 Len=0"
"227","12.845688","192.168.0.108","192.168.0.102","TCP","54","1761  >  0 [SYN] Seq=0 Win=512 Len=0"
"228","12.845688","192.168.0.108","192.168.0.102","TCP","54","1762  >  0 [SYN] Seq=0 Win=512 Len=0"
"229","12.845688","192.168.0.108","192.168.0.102","TCP","54","1763  >  0 [SYN] Seq=0 Win=512 Len=0"
"230","12.845688","192.168.0.108","192.168.0.102","TCP","54","1764  >  0 [SYN] Seq=0 Win=512 Len=0"
"231","12.845688","192.168.0.108","192.168.0.102","TCP","54","1765  >  0 [SYN] Seq=0 Win=512 Len=0"
"232","12.845688","192.168.0.108","192.168.0.102","TCP","54","1766  >  0 [SYN] Seq=0 Win=512 Len=0"
"233","12.845688","192.168.0.108","192.168.0.102","TCP","54","1767  >  0 [SYN] Seq=0 Win=512 Len=0"
"234","12.845688","192.168.0.108","192.168.0.102","TCP","54","1768  >  0 [SYN] Seq=0 Win=512 Len=0"
"235","12.845688","192.168.0.108","192.168.0.102","TCP","54","1769  >  0 [SYN] Seq=0 Win=512 Len=0"
"236","12.845688","192.168.0.108","192.168.0.102","TCP","54","1770  >  0 [SYN] Seq=0 Win=512 Len=0"
"237","12.845688","192.168.0.108","192.168.0.102","TCP","54","1771  >  0 [SYN] Seq=0 Win=512 Len=0"
"238","12.845688","192.168.0.108","192.168.0.102","TCP","54","1772  >  0 [SYN] Seq=0 Win=512 Len=0"
"239","12.846272","192.168.0.108","192.168.0.102","TCP","54","1773  >  0 [SYN] Seq=0 Win=512 Len=0"
"240","12.846272","192.168.0.108","192.168.0.102","TCP","54","1774  >  0 [SYN] Seq=0 Win=512 Len=0"
"241","12.846272","192.168.0.108","192.168.0.102","TCP","54","1775  >  0 [SYN] Seq=0 Win=512 Len=0"
"242","12.846272","192.168.0.108","192.168.0.102","TCP","54","1776  >  0 [SYN] Seq=0 Win=512 Len=0"
"243","12.846272","192.168.0.108","192.168.0.102","TCP","54","1777  >  0 [SYN] Seq=0 Win=512 Len=0"
"244","12.846272","192.168.0.108","192.168.0.102","TCP","54","1778  >  0 [SYN] Seq=0 Win=512 Len=0"
"245","12.846272","192.168.0.108","192.168.0.102","TCP","54","1779  >  0 [SYN] Seq=0 Win=512 Len=0"
"246","12.846272","192.168.0.108","192.168.0.102","TCP","54","1780  >  0 [SYN] Seq=0 Win=512 Len=0"
"247","12.846272","192.168.0.108","192.168.0.102","TCP","54","1781  >  0 [SYN] Seq=0 Win=512 Len=0"
"248","12.846272","192.168.0.108","192.168.0.102","TCP","54","1782  >  0 [SYN] Seq=0 Win=512 Len=0"
"249","12.846272","192.168.0.108","192.168.0.102","TCP","54","1783  >  0 [SYN] Seq=0 Win=512 Len=0"
"250","12.846272","192.168.0.108","192.168.0.102","TCP","54","1784  >  0 [SYN] Seq=0 Win=512 Len=0"
"251","12.846272","192.168.0.108","192.168.0.102","TCP","54","1785  >  0 [SYN] Seq=0 Win=512 Len=0"
"252","12.846272","192.168.0.108","192.168.0.102","TCP","54","1786  >  0 [SYN] Seq=0 Win=512 Len=0"
"253","12.846272","192.168.0.108","192.168.0.102","TCP","54","1787  >  0 [SYN] Seq=0 Win=512 Len=0"
"254","12.846272","192.168.0.108","192.168.0.102","TCP","54","1788  >  0 [SYN] Seq=0 Win=512 Len=0"
"255","12.846902","192.168.0.108","192.168.0.102","TCP","54","1789  >  0 [SYN] Seq=0 Win=512 Len=0"
"256","12.846902","192.168.0.108","192.168.0.102","TCP","54","1790  >  0 [SYN] Seq=0 Win=512 Len=0"
"257","12.846902","192.168.0.108","192.168.0.102","TCP","54","1791  >  0 [SYN] Seq=0 Win=512 Len=0"
"258","12.846902","192.168.0.108","192.168.0.102","TCP","54","1792  >  0 [SYN] Seq=0 Win=512 Len=0"
"259","12.846902","192.168.0.108","192.168.0.102","TCP","54","1793  >  0 [SYN] Seq=0 Win=512 Len=0"
"260","12.846902","192.168.0.108","192.168.0.102","TCP","54","1794  >  0 [SYN] Seq=0 Win=512 Len=0"
"261","12.846902","192.168.0.108","192.168.0.102","TCP","54","1795  >  0 [SYN] Seq=0 Win=512 Len=0"
"262","12.846902","192.168.0.108","192.168.0.102","TCP","54","1796  >  0 [SYN] Seq=0 Win=512 Len=0"
"263","12.846902","192.168.0.108","192.168.0.102","TCP","54","1797  >  0 [SYN] Seq=0 Win=512 Len=0"
"264","12.846902","192.168.0.108","192.168.0.102","TCP","54","1798  >  0 [SYN] Seq=0 Win=512 Len=0"
"265","12.846902","192.168.0.108","192.168.0.102","TCP","54","1845  >  0 [SYN] Seq=0 Win=512 Len=0"
